# UK · FTSE 100
# Built by scripts/build_universe.py. `sector` and `industry` are Yahoo's own
# labels, verbatim - the halal activity screen matches against these strings,
# so they must be spelled the way the screen will see them at scan time.
# 94 of these are quoted in pence (GBp); prices.py divides them by 100.
symbol,name,sector,industry,yf_ticker
STAN,Standard Chartered PLC,Financial Services,Banks - Diversified,STAN.L
STJ,St. James's Place plc,Financial Services,Asset Management,STJ.L
SVT,Severn Trent PLC,Utilities,Utilities - Regulated Water,SVT.L
TSCO,Tesco PLC,Consumer Defensive,Grocery Stores,TSCO.L
TW,Taylor Wimpey plc,Consumer Cyclical,Residential Construction,TW.L
ULVR,Unilever PLC,Consumer Defensive,Household & Personal Products,ULVR.L
UTG,Unite Group PLC,Real Estate,REIT - Diversified,UTG.L
UU,United Utilities Group PLC,Utilities,Utilities - Regulated Water,UU.L
VOD,Vodafone Group Public Limited Company,Communication Services,Telecom Services,VOD.L
WEIR,The Weir Group PLC,Industrials,Specialty Industrial Machinery,WEIR.L
WPP,WPP plc,Communication Services,Advertising Agencies,WPP.L
WTB,Whitbread plc,Consumer Cyclical,Lodging,WTB.L
